id,customer_text,annotator1_intent,annotator2_intent_FILL,agree_FILL
amz-000,I have filed a fraud/dispute case and my card is blocked now. I am expecting an answer for this from 3/3,refund_return,,
amz-005,Haven't received my order. Courier guys update wrong status - liars! No reply from customer service. #amazonsucks #?,delivery_delay,,
amz-010,U are the worst shopping app I used and suffered <URL>,other_unclear,,
amz-015,"apparently several residents in this apartment complex received ""delivered"" notification yesterday. But no packages",missing_parcel_tracking,,
amz-020,Oooops! Looks like an email was sent saying that it may arrive later that Dec 1st! I’ll just wait. TY!,delivery_delay,,
amz-025,"seriously? I bought a tiny pack of batteries the pack is literally 5mm thick, and you sent it in a huge box! This meant it couldn’t be put through my door, and my neighbours got woken up last night as I wasn’t in! Please use appropriate packaging for items!!!!! <URL>",other_unclear,,
amz-030,"If my product is in high priority, then why i haven't received it yet.",delivery_delay,,
amz-035,"Hi, is there a way to play songs from my phone folders or upload them on cloud and play on to my ?",device_app_account,,
amz-040,3/ Worst case: sold my husband a new iPad Pro that turned out to be a demo model. Every time I then have to correct their mistake.,refund_return,,
amz-045,"Yes, but they insist it is not return button as the website suggests. Very strange!",refund_return,,
amz-050,worst thing is.. After whatever mistakes he has done... After first unsuccessful attempt he has returned my order to seller,refund_return,,
amz-055,It has just arrived. This is not the first time something has been out for delivery all day only to be delivered the next day or very late.,delivery_delay,,
amz-060,Updated app #iOS11 #iphonex most books work- one crashes the app- hmmmm 😕,device_app_account,,
amz-065,Why would my mailman fail to deliver my package? Tracking says bc there was not access to my door. Let me help ya out. Step one: walk up the driveway step two:leave the package #why #fail,missing_parcel_tracking,,
amz-070,Why would Belgian customers pay for #Prime Video if we cannot order the Fire TV Stick and the Prime Video app doesn't support #Chromecast ? #fail #AmazonDE <URL> <URL>,device_app_account,,
amz-075,"Being an exbanker and facing a credit card fraud overseas,tried how e-tailers thwart such incidences. Thanks for the quick response",refund_return,,
amz-080,The kindle I ordered wasn't delivered today. Now I guess I'll have to wait the whole weekend. A bit upset over that. Trying to cheer myself up watching Wizard of Oz,device_app_account,,
amz-085,"Getting further disappointed with 'prime', seems increasing numbers of items marked as prime delivery yet take 3-5 days to arrive",delivery_delay,,
amz-090,my package never came so i requested a replacement and a refund and i couldn’t get either sooo what am i supposed to do,refund_return,,
amz-095,"I’ve heard Amazon can’t get most copies sent out till Monday. Do you plan to refund everyone who’s in my same shoes, not getting it early?",refund_return,,
amz-100,its so disgusting getting delivery late and again getting delayed even after the date of delivery,delivery_delay,,
amz-105,So it's Friday 9:41AM and I just order something from and it comes Sunday night at latest with amazon prime?!? Unexpectable.,delivery_delay,,
amz-110,please give me a resolution my money is stuck somewhere with Amazon pls help order 404-2396392-7886725,refund_return,,
amz-115,here is Prime delivery time for order ORDER # 406-2506969-8731519. What is the use of Prime??? <URL>,delivery_delay,,
amz-120,"Not going to worry, since resolved now. Just hope the refund doesn’t take too long after you guys receive the return parcel. Thanks again.",refund_return,,
amz-125,I’ve had no acknowledgement from amazon that they have been returned to sender. They should’ve been delivered last Sun and now looking for similar item delivery will be mon at earliest and I can’t trust they’ll arrive. Another item this week was not delivered and I had to reorder <URL>,missing_parcel_tracking,,
amz-130,I was about to buy a phone under exchange and then when I went to purchase the exchange price changed? Why?,other_unclear,,
amz-135,I havent received the #702... order yet and no additional info either from the carrier. Can you call them and give me more info as to where the package and why is it taking so long? Thank you.,missing_parcel_tracking,,
amz-140,"hey Ridiculous refund case now. original creditcard account no longer exist, your staff wont refund to my other card",refund_return,,
amz-145,"customer service going downhill..had item cancelled no update to me and points not refunded,took 3 calls to resolve,then did 2 prime order for new phone case and never showed..called and was told nothing can be done..whats the point of being a member??",refund_return,,
