id,customer_text,draft,evidence_ids,must_include,must_not_promise,human_groundedness_1_5,human_relevance_1_5,human_tone_1_5,human_safety_1_5,llm_judge_avg_if_any
amz-135,I havent received the #702... order yet and no additional info either from the carrier. Can you call them and give me more info as to where the package and why is it taking so long? Thank you.,I am very sorry for the delay with your order #702. I understand how frustrating it is to wait without updates. Please send us a DM with your full order details so we can investigate the status with the carrier for you. You can also check the latest tracking information here: <URL>. We are here to help resolve this.,1718;862;2357,acknowledge non-receipt|ask for tracking/address details to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-128,Not at all. Haven't added at all,"I am sorry to hear you are experiencing this issue. Could you please provide your order number or tracking details so I can investigate this further for you? Alternatively, please send us a direct message with your account details so we can look into this immediately.",191;2501,acknowledge the delay|ask for order details or DM to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-042,"#Phone returned but #refund or replacement not received from #Amazon, #complaint against <URL>","We are sorry to hear about the delay with your refund and the frustration this has caused. As this is a public social media platform, please do not share your order details here for your security. Please report this issue directly at <URL> so our team can investigate the status of your return and refund immediately.",2272;493;557,acknowledge the refund/return request|state the next step without inventing a date,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-141,I have cancelled the order 404-3104256-6132333 on 6 th oct since u guys did not deliver the product. When u r going to refund?,"I am sorry to hear about the trouble with your order. Please do not provide your order details here, as we consider that personal information and our page is visible to the public. To investigate this further, please contact us directly through this link: <URL>",28;2519;2840,acknowledge the refund/return request|state the next step without inventing a date,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-121,has been rubbish with deliveries recently. Intending to deliver and then saying there is a delay or items just not turning up even though I get an email saying they've been delivered. Got too big and can't meet demand? I think so.,"I am very sorry to hear about the frustration caused by your recent delivery experience. We would like to investigate this for you. Could you please provide the order number or tracking details, or send us a DM with the information so we can look into this missing parcel immediately?",569,acknowledge the delay|ask for order details or DM to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-066,Still the issue is going on and I was unable to gift that tshirts as I haven’t received it yet nor the refund of previous order.. if this is the speed of your services then I don’t think more ppl will buy from amazon. And I am definitely not gonna buy any from amazon.,I am very sorry for the frustration caused by the missing t-shirts and the delay in your refund. We want to investigate this immediately. Could you please provide your order number or send us a DM with the details so we can look into the status of your shipment and the refund process for you?,1452;224;2947,acknowledge the refund/return request|state the next step without inventing a date,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-047,"Hi , I've rcvd broken jam bottle in order#402-9826918-9096335 bcz of inappropriate packaging. The box was crushed. <URL>","Hi, we're very sorry to hear your jam arrived broken due to the packaging. Please don't provide your order details here as this is a public page. Have you been able to review your return or replacement options for this order? You can report this issue directly to our support team here: <URL> (1/2)^CB",150;908;2215,acknowledge the refund/return request|state the next step without inventing a date,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-027,Your leadership team should look into this and must audit all my call records. Pathetic Customer care. <URL>,We are sorry to hear about your experience and apologize for the frustration caused. We would like to look into this for you. Please send us a DM with your order or tracking details so we can investigate your account and the associated records further. (1/2),1135;1136;82,ask a clarifying question,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-050,worst thing is.. After whatever mistakes he has done... After first unsuccessful attempt he has returned my order to seller,I am very sorry to hear about the trouble with your order and that it was returned to the seller. We would like to investigate this for you. Could you please provide your order number or tracking details via DM so we can look into this further?,829;330;2424,acknowledge the refund/return request|state the next step without inventing a date,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
amz-031,Is it just me or has been shitty for everyone off late? <URL>,I'm sorry to hear about your experience. We'd like to look into this for you. Could you please share your order or tracking details via DM so we can investigate further?,450;2067,acknowledge the delay|ask for order details or DM to investigate,a specific refund arrival date|a compensation amount|a guaranteed delivery date|account-specific facts not in evidence,,,,,
