brand,customer_id,customer_tweet_id,brand_tweet_id,created_at,customer_message_raw,brand_reply_raw,customer_followup_raw,customer_message,brand_reply,customer_followup
ResolveCo,100001,1002,1003,Tue Oct 02 12:00:00 +0000 2017,"@ResolveCo my order hasnt arrived and its been 9 days, whats going on?","@100001 Thanks for flagging. That crash is fixed in v4.2.1 - update from the Play Store and clear the app cache, that resolves it.","@ResolveCo thanks, that worked!","my order hasnt arrived and its been 9 days, whats going on?","Thanks for flagging. That crash is fixed in v4.2.1 - update from the Play Store and clear the app cache, that resolves it.","thanks, that worked!"
ResolveCo,100002,1005,1006,Tue Oct 03 12:00:00 +0000 2017,"@ResolveCo cant log in, it says my password is wrong but its not","@100002 Sorry about that! Orders past 7 days qualify for a free reship - we've queued one for you, arriving in 2-3 days.",@ResolveCo still not fixed,"cant log in, it says my password is wrong but its not","Sorry about that! Orders past 7 days qualify for a free reship - we've queued one for you, arriving in 2-3 days.",still not fixed
ResolveCo,100004,1010,1011,Tue Oct 05 12:00:00 +0000 2017,@ResolveCo when does the new update roll out for android?,"@100004 Thanks for flagging. That crash is fixed in v4.2.1 - update from the Play Store and clear the app cache, that resolves it.",@ResolveCo still not fixed,when does the new update roll out for android?,"Thanks for flagging. That crash is fixed in v4.2.1 - update from the Play Store and clear the app cache, that resolves it.",still not fixed
ResolveCo,100005,1013,1014,Tue Oct 06 12:00:00 +0000 2017,@ResolveCo app keeps crashing every time i open the payments tab,@100005 The Android update rolls out region by region through next week - you'll get an in-app prompt when it's live for you.,"@ResolveCo thanks, that worked!",app keeps crashing every time i open the payments tab,The Android update rolls out region by region through next week - you'll get an in-app prompt when it's live for you.,"thanks, that worked!"
ResolveCo,100007,1019,1020,Tue Oct 08 12:00:00 +0000 2017,@ResolveCo when does the new update roll out for android?,"@100007 Sorry about that! Orders past 7 days qualify for a free reship - we've queued one for you, arriving in 2-3 days.",@ResolveCo still not fixed,when does the new update roll out for android?,"Sorry about that! Orders past 7 days qualify for a free reship - we've queued one for you, arriving in 2-3 days.",still not fixed
ResolveCo,100008,1022,1023,Tue Oct 09 12:00:00 +0000 2017,"@ResolveCo my order hasnt arrived and its been 9 days, whats going on?",@100008 We see the duplicate charge. It's been reversed and should land back in 3-5 business days.,@ResolveCo ok will try that,"my order hasnt arrived and its been 9 days, whats going on?",We see the duplicate charge. It's been reversed and should land back in 3-5 business days.,ok will try that
ResolveCo,100010,1028,1029,Tue Oct 11 12:00:00 +0000 2017,"@ResolveCo your delivery driver left my parcel in the rain, its ruined",@100010 We see the duplicate charge. It's been reversed and should land back in 3-5 business days.,"@ResolveCo thanks, that worked!","your delivery driver left my parcel in the rain, its ruined",We see the duplicate charge. It's been reversed and should land back in 3-5 business days.,"thanks, that worked!"
ResolveCo,100011,1031,1032,Tue Oct 12 12:00:00 +0000 2017,@ResolveCo how do i change the email address on my account?,"@100011 Try a password reset from the login screen - if the email doesn't arrive in 5 minutes, check spam, it usually lands there.","@ResolveCo thanks, that worked!",how do i change the email address on my account?,"Try a password reset from the login screen - if the email doesn't arrive in 5 minutes, check spam, it usually lands there.","thanks, that worked!"
ResolveCo,100013,1037,1038,Tue Oct 14 12:00:00 +0000 2017,@ResolveCo how do i change the email address on my account?,"@100013 Sorry to hear that. You can cancel any time under Settings > Billing, and we'll refund the unused portion of this month.",,how do i change the email address on my account?,"Sorry to hear that. You can cancel any time under Settings > Billing, and we'll refund the unused portion of this month.",
ResolveCo,100014,1039,1040,Tue Oct 15 12:00:00 +0000 2017,"@ResolveCo cant log in, it says my password is wrong but its not","@100014 Sorry to hear that. You can cancel any time under Settings > Billing, and we'll refund the unused portion of this month.",,"cant log in, it says my password is wrong but its not","Sorry to hear that. You can cancel any time under Settings > Billing, and we'll refund the unused portion of this month.",
ResolveCo,100016,1044,1045,Tue Oct 17 12:00:00 +0000 2017,@ResolveCo i was charged twice for the same subscription this month,"@100016 You can change it under Settings > Account > Email, then confirm via the link we send you.","@ResolveCo thanks, that worked!",i was charged twice for the same subscription this month,"You can change it under Settings > Account > Email, then confirm via the link we send you.","thanks, that worked!"
